#{"t_start": 1760934253.0239923, "env_id": "CarRacing-v2"}
r,l,t
-62.382445,1000,20.63222
-50.570342,1000,39.224482
-40.17094,1000,92.404322
-50.657895,1000,113.1557
-52.054795,1000,163.443882
-58.823529,1000,183.815249
-46.843854,1000,236.393421
-56.953642,1000,259.38356
-58.477509,1000,317.266774
-60.0,1000,338.953447
-35.483871,1000,396.649912
-60.264901,1000,416.880607
-42.748092,1000,464.754303
-63.087248,1000,484.910864
-66.360856,1000,531.927045
-59.044369,1000,550.086815
-47.916667,1000,595.258138
-55.479452,1000,613.439631
-62.068966,1000,659.802625
-65.034965,1000,678.243646
-56.834532,1000,723.365896
-60.13289,1000,742.67575
-68.992248,1000,791.563675
-56.375839,1000,811.7854
-63.50365,1000,860.236109
-37.908497,1000,876.815813
-26.573427,1000,921.333381
-55.974843,1000,938.403235
-35.483871,1000,983.5162
-36.877076,1000,1000.642359
68.421053,1000,1045.482658
-38.511327,1000,1063.036121
27.340824,1000,1108.668402
-50.877193,1000,1126.326706
-32.20339,1000,1172.217239
-57.09571,1000,1189.772722
-53.947368,1000,1236.401864
19.047619,1000,1254.510259
68.458781,1000,1300.212022
32.20339,1000,1340.982023
-51.923077,1000,1400.23471
23.893805,1000,1422.7576
-23.076923,1000,1444.74989
169.480519,1000,1497.485509
191.366906,1000,1519.186703
41.818182,1000,1570.483453
233.333333,1000,1591.693776
-11.971831,1000,1637.073627
-82.051282,1000,1654.77703
73.913043,1000,1700.567889
235.849057,1000,1744.475807
