#{"t_start": 1761453282.4529798, "env_id": "LunarLander-v3"}
r,l,t
63.101214,81,2.530981
61.332489,86,2.614518
42.28059,120,2.723
58.743381,92,2.80729
74.947877,62,2.867922
-12.554822,143,3.006906
83.184914,77,3.079357
0.614808,112,3.180709
81.384127,88,3.252245
77.904939,61,3.317055
22.061003,114,3.430144
85.692523,71,3.499846
26.971381,117,3.617594
91.875897,84,3.70157
74.680285,68,3.761691
80.884307,74,3.825221
49.980294,101,3.926493
51.516228,95,4.022636
80.612086,66,4.075055
48.727596,96,4.161102
73.713691,74,4.230351
68.021949,81,4.314911
86.541314,75,4.389722
47.24486,112,5.935861
83.128405,72,6.009137
61.838699,84,6.070853
75.378606,61,6.122106
77.110239,79,6.192613
44.809569,118,6.321121
84.976978,78,6.461715
89.581139,81,6.595848
-10.348233,90,6.703289
-24.680219,113,6.824849
94.05815,94,6.918761
21.998725,106,7.033811
-46.634289,113,7.139469
79.199538,79,7.219312
72.688227,83,7.305117
70.358336,84,7.37998
47.489186,95,7.476757
83.475186,70,7.543008
43.948747,122,7.671873
67.422413,92,7.75776
82.264353,83,7.837913
81.82025,69,7.914704
